"filename", "language", "JSON", "Markdown", "Log", "Python", "comment", "blank", "total"
"d:\项目\计算机网络课设\.cunzhi-memory\context.md", "Markdown", 0, 1, 0, 0, 0, 2, 3
"d:\项目\计算机网络课设\.cunzhi-memory\metadata.json", "JSON", 6, 0, 0, 0, 0, 0, 6
"d:\项目\计算机网络课设\.cunzhi-memory\patterns.md", "Markdown", 0, 1, 0, 0, 0, 2, 3
"d:\项目\计算机网络课设\.cunzhi-memory\preferences.md", "Markdown", 0, 1, 0, 0, 0, 2, 3
"d:\项目\计算机网络课设\.cunzhi-memory\rules.md", "Markdown", 0, 1, 0, 0, 0, 2, 3
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\ACCEPTANCE_协议统计.md", "Markdown", 0, 210, 0, 0, 0, 46, 256
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_CSVExport.md", "Markdown", 0, 116, 0, 0, 0, 35, 151
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\协议统计\FIX_REPORT_ChartDisplay.md", "Markdown", 0, 80, 0, 0, 0, 15, 95
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\FINAL_导出数据统计指标修复.md", "Markdown", 0, 121, 0, 0, 0, 37, 158
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\导出数据统计指标修复\TODO_导出数据统计指标修复.md", "Markdown", 0, 109, 0, 0, 0, 34, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ACCEPTANCE_捕获选项功能.md", "Markdown", 0, 99, 0, 0, 0, 21, 120
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\ALIGNMENT_捕获选项功能.md", "Markdown", 0, 148, 0, 0, 0, 34, 182
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\CONSENSUS_捕获选项功能.md", "Markdown", 0, 113, 0, 0, 0, 28, 141
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\DESIGN_捕获选项功能.md", "Markdown", 0, 325, 0, 0, 0, 77, 402
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\FINAL_捕获选项功能.md", "Markdown", 0, 144, 0, 0, 0, 38, 182
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TASK_捕获选项功能.md", "Markdown", 0, 360, 0, 0, 0, 90, 450
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\捕获选项功能\TODO_捕获选项功能.md", "Markdown", 0, 145, 0, 0, 0, 44, 189
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\settings.py", "Python", 0, 0, 0, 23, 9, 3, 35
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\__init__.py", "Python", 0, 0, 0, 8, 5, 2, 15
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\bpf_validator.py", "Python", 0, 0, 0, 211, 59, 57, 327
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\capture_options_dialog.py", "Python", 0, 0, 0, 438, 121, 148, 707
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\filter_template_manager.py", "Python", 0, 0, 0, 304, 90, 63, 457
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\components\interface_info_provider.py", "Python", 0, 0, 0, 238, 103, 59, 400
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\__init__.py", "Python", 0, 0, 0, 2, 6, 2, 10
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\protocol_stats_dialog.py", "Python", 0, 0, 0, 347, 100, 101, 548
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\main_window.py", "Python", 0, 0, 0, 159, 0, 0, 159
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\__init__.py", "Python", 0, 0, 0, 3, 5, 2, 10
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\protocol_statistics.py", "Python", 0, 0, 0, 259, 91, 53, 403
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\statistics_visualizer.py", "Python", 0, 0, 0, 311, 141, 81, 533
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\storage\data_manager.py", "Python", 0, 0, 0, 57, 134, 11, 202
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_csv_export_fix.py", "Python", 0, 0, 0, 118, 20, 27, 165
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_statistics.py", "Python", 0, 0, 0, 143, 22, 34, 199
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_statistics_core.py", "Python", 0, 0, 0, 229, 36, 61, 326
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_stats_comprehensive.py", "Python", 0, 0, 0, 324, 49, 91, 464
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_stats_dialog.py", "Python", 0, 0, 0, 86, 22, 35, 143
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_stats_fix.py", "Python", 0, 0, 0, 72, 16, 23, 111
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_protocol_stats_simple.py", "Python", 0, 0, 0, 171, 32, 52, 255
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\test_statistics_visualizer.py", "Python", 0, 0, 0, 229, 51, 81, 361
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\tests\test_capture_options.py", "Python", 0, 0, 0, 297, 71, 80, 448
"d:\项目\计算机网络课设\docs\剩余功能实现\ACCEPTANCE_协议统计.md", "Markdown", 0, 325, 0, 0, 0, 74, 399
"d:\项目\计算机网络课设\docs\剩余功能实现\ALIGNMENT_剩余功能实现.md", "Markdown", 0, 135, 0, 0, 0, 39, 174
"d:\项目\计算机网络课设\docs\剩余功能实现\APPROVAL_协议统计.md", "Markdown", 0, 167, 0, 0, 0, 57, 224
"d:\项目\计算机网络课设\docs\剩余功能实现\DESIGN_协议统计.md", "Markdown", 0, 320, 0, 0, 0, 88, 408
"d:\项目\计算机网络课设\docs\剩余功能实现\FINAL_协议统计.md", "Markdown", 0, 187, 0, 0, 0, 52, 239
"d:\项目\计算机网络课设\docs\剩余功能实现\FIX_REPORT_ChartConfig.md", "Markdown", 0, 124, 0, 0, 0, 31, 155
"d:\项目\计算机网络课设\docs\剩余功能实现\TASK_协议统计.md", "Markdown", 0, 247, 0, 0, 0, 65, 312
"d:\项目\计算机网络课设\docs\剩余功能实现\TODO_协议统计.md", "Markdown", 0, 169, 0, 0, 0, 40, 209
"d:\项目\计算机网络课设\docs\剩余功能实现\VERIFICATION_协议统计.md", "Markdown", 0, 168, 0, 0, 0, 49, 217
"d:\项目\计算机网络课设\logs\network_analyzer.log", "Log", 0, 0, 268, 0, 0, 0, 268
"Total", "-", 6, 3816, 268, 4029, 1183, 2068, 11370
