"filename", "language", "Properties", "Python", "HTML", "PostCSS", "toml", "Markdown", "Log", "comment", "blank", "total"
"d:\项目\计算机网络课设\.env", "Properties", 38, 0, 0, 0, 0, 0, 0, 11, 10, 59
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\check_sessions.py", "Python", 0, 21, 0, 0, 0, 0, 0, 3, 6, 30
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\报告生成Bug修复\FINAL_报告生成Bug修复.md", "Markdown", 0, 0, 0, 0, 0, 131, 0, 0, 40, 171
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\ACCEPTANCE_生成报告.md", "Markdown", 0, 0, 0, 0, 0, 153, 0, 0, 62, 215
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\APPROVAL_生成报告.md", "Markdown", 0, 0, 0, 0, 0, 153, 0, 0, 60, 213
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\DESIGN_生成报告.md", "Markdown", 0, 0, 0, 0, 0, 287, 0, 0, 72, 359
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\FINAL_生成报告.md", "Markdown", 0, 0, 0, 0, 0, 156, 0, 0, 57, 213
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\TASK_生成报告.md", "Markdown", 0, 0, 0, 0, 0, 382, 0, 0, 85, 467
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\TODO_生成报告.md", "Markdown", 0, 0, 0, 0, 0, 165, 0, 0, 54, 219
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\docs\生成报告\UI_IMPROVEMENT_报告对话框.md", "Markdown", 0, 0, 0, 0, 0, 91, 0, 0, 29, 120
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\pyproject.toml", "toml", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_215350.html", "HTML", 0, 0, 238, 0, 0, 0, 0, 4, 21, 263
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_220820.html", "HTML", 0, 0, 232, 0, 0, 0, 0, 4, 20, 256
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_220904.html", "HTML", 0, 0, 220, 0, 0, 0, 0, 4, 18, 242
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_234413.html", "HTML", 0, 0, 226, 0, 0, 0, 0, 4, 19, 249
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\reports\network_analysis_report_20250926_235953.html", "HTML", 0, 0, 365, 0, 0, 0, 0, 13, 27, 405
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\config\settings.py", "Python", 0, 205, 0, 0, 0, 0, 0, 90, 31, 326
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\chart_manager.py", "Python", 0, 268, 0, 0, 0, 0, 0, 119, 75, 462
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\advanced_settings_tab.py", "Python", 0, 201, 0, 0, 0, 0, 0, 46, 51, 298
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\basic_settings_tab.py", "Python", 0, 217, 0, 0, 0, 0, 0, 39, 62, 318
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\report_generation_dialog.py", "Python", 0, 319, 0, 0, 0, 0, 0, 92, 109, 520
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\dialogs\settings_dialog.py", "Python", 0, 242, 0, 0, 0, 0, 0, 103, 77, 422
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\main_window.py", "Python", 0, 53, 0, 0, 0, 0, 0, 7, 10, 70
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\gui\traffic_trends_dialog.py", "Python", 0, 271, 0, 0, 0, 0, 0, 77, 83, 431
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\processing\traffic_data_processor.py", "Python", 0, 142, 0, 0, 0, 0, 0, 117, 49, 308
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\__init__.py", "Python", 0, 8, 0, 0, 0, 0, 0, 14, 3, 25
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\charts\__init__.py", "Python", 0, 6, 0, 0, 0, 0, 0, 7, 2, 15
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\charts\chart_generator.py", "Python", 0, 334, 0, 0, 0, 0, 0, 144, 102, 580
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\charts\matplotlib_renderer.py", "Python", 0, 105, 0, 0, 0, 0, 0, 79, 27, 211
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\data_collector.py", "Python", 0, 207, 0, 0, 0, 0, 0, 82, 66, 355
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\generators\__init__.py", "Python", 0, 8, 0, 0, 0, 0, 0, 8, 2, 18
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\generators\csv_generator.py", "Python", 0, 291, 0, 0, 0, 0, 0, 142, 86, 519
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\generators\html_generator.py", "Python", 0, 425, 0, 0, 0, 0, 0, 134, 60, 619
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\generators\pdf_generator.py", "Python", 0, 298, 0, 0, 0, 0, 0, 167, 47, 512
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\report_generator.py", "Python", 0, 344, 0, 0, 0, 0, 0, 118, 86, 548
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\__init__.py", "Python", 0, 6, 0, 0, 0, 0, 0, 7, 2, 15
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\css\report.css", "PostCSS", 0, 0, 0, 94, 0, 0, 0, 2, 19, 115
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\html\base.html", "HTML", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\html\report.html", "HTML", 0, 0, 254, 0, 0, 0, 0, 13, 27, 294
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\jinja2_renderer.py", "Python", 0, 171, 0, 0, 0, 0, 0, 99, 42, 312
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\reports\templates\template_manager.py", "Python", 0, 133, 0, 0, 0, 0, 0, 72, 38, 243
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\statistics\statistics_visualizer.py", "Python", 0, 22, 0, 0, 0, 0, 0, 3, 5, 30
"d:\项目\计算机网络课设\LightweightPacketAnalyzer\src\network_analyzer\storage\data_manager.py", "Python", 0, 41, 0, 0, 0, 0, 0, 129, 4, 174
