Date : 2025-09-27 22:23:52
Directory : d:\项目\计算机网络课设
Total : 238 files,  42236 codes, 6712 comments, 10380 blanks, all 59328 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Python     |        122 |     18,985 |      6,645 |      5,248 |     30,878 |
| Markdown   |        101 |     18,247 |          0 |      4,899 |     23,146 |
| Log        |          1 |      2,537 |          0 |          1 |      2,538 |
| HTML       |         10 |      2,247 |         54 |        193 |      2,494 |
| PostCSS    |          1 |         94 |          2 |         19 |        115 |
| toml       |          1 |         82 |          0 |         10 |         92 |
| Properties |          1 |         38 |         11 |         10 |         59 |
| JSON       |          1 |          6 |          0 |          0 |          6 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        238 |     42,236 |      6,712 |     10,380 |     59,328 |
| . (Files)                                                                                              |          1 |         38 |         11 |         10 |         59 |
| .cunzhi-memory                                                                                         |          5 |         10 |          0 |          8 |         18 |
| LightweightPacketAnalyzer                                                                              |        180 |     29,429 |      6,689 |      7,751 |     43,869 |
| LightweightPacketAnalyzer (Files)                                                                      |         61 |      6,417 |      1,182 |      1,875 |      9,474 |
| LightweightPacketAnalyzer\docs                                                                         |         48 |      8,587 |          0 |      2,305 |     10,892 |
| LightweightPacketAnalyzer\docs\T1.1新建会话                                                                |          3 |        867 |          0 |        201 |      1,068 |
| LightweightPacketAnalyzer\docs\T1.2打开会话                                                                |          4 |      1,099 |          0 |        285 |      1,384 |
| LightweightPacketAnalyzer\docs\T1.3保存会话                                                                |          7 |        888 |          0 |        254 |      1,142 |
| LightweightPacketAnalyzer\docs\协议统计                                                                    |          3 |        406 |          0 |         96 |        502 |
| LightweightPacketAnalyzer\docs\单元测试修复                                                                  |          2 |        138 |          0 |         45 |        183 |
| LightweightPacketAnalyzer\docs\导出数据统计指标修复                                                              |          2 |        230 |          0 |         71 |        301 |
| LightweightPacketAnalyzer\docs\打开会话功能                                                                  |          3 |        335 |          0 |         94 |        429 |
| LightweightPacketAnalyzer\docs\报告生成Bug修复                                                               |          1 |        131 |          0 |         40 |        171 |
| LightweightPacketAnalyzer\docs\捕获选项功能                                                                  |          7 |      1,334 |          0 |        332 |      1,666 |
| LightweightPacketAnalyzer\docs\数据包详情显示                                                                 |          9 |      1,772 |          0 |        468 |      2,240 |
| LightweightPacketAnalyzer\docs\生成报告                                                                    |          7 |      1,387 |          0 |        419 |      1,806 |
| LightweightPacketAnalyzer\reports                                                                      |          5 |      1,281 |         29 |        105 |      1,415 |
| LightweightPacketAnalyzer\src                                                                          |         57 |     10,941 |      4,819 |      2,759 |     18,519 |
| LightweightPacketAnalyzer\src (Files)                                                                  |          1 |        131 |         20 |         26 |        177 |
| LightweightPacketAnalyzer\src\network_analyzer                                                         |         56 |     10,810 |      4,799 |      2,733 |     18,342 |
| LightweightPacketAnalyzer\src\network_analyzer (Files)                                                 |          2 |         84 |         33 |         24 |        141 |
| LightweightPacketAnalyzer\src\network_analyzer\analysis                                                |          9 |        990 |        744 |        329 |      2,063 |
