指标,数值
总数据包,115
总字节数,21048
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,93
UDP,16
DNS,6

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-09-28 15:40:32.224,192.168.31.159,218.93.159.92,11353,443,TCP,55
2025-09-28 15:40:32.231,218.93.159.92,192.168.31.159,443,11353,TCP,66
2025-09-28 15:40:32.236,192.168.31.159,218.93.159.92,11361,443,TCP,55
2025-09-28 15:40:32.243,218.93.159.92,192.168.31.159,443,11361,TCP,66
2025-09-28 15:40:32.323,84.53.172.9,192.168.31.159,443,8727,TCP,66
2025-09-28 15:40:32.330,192.168.31.159,108.181.4.223,53928,36694,UDP,101
2025-09-28 15:40:32.330,192.168.31.159,108.181.4.223,53928,36694,UDP,74
2025-09-28 15:40:32.467,108.181.4.223,192.168.31.159,36694,53928,UDP,75
2025-09-28 15:40:32.493,192.168.31.159,108.181.4.223,53928,36694,UDP,74
2025-09-28 15:40:32.635,108.181.4.223,192.168.31.159,36694,53928,UDP,64
2025-09-28 15:40:32.660,192.168.31.159,108.181.4.223,53928,36694,UDP,74
2025-09-28 15:40:32.660,192.168.31.159,113.240.74.16,11405,443,TCP,54
2025-09-28 15:40:32.670,108.181.4.223,192.168.31.159,36694,53928,UDP,94
2025-09-28 15:40:32.671,192.168.31.159,108.181.4.223,53928,36694,UDP,79
2025-09-28 15:40:32.683,113.240.74.16,192.168.31.159,443,11405,TCP,60
2025-09-28 15:40:32.684,192.168.31.159,113.240.74.16,11405,443,TCP,54
2025-09-28 15:40:32.810,108.181.4.223,192.168.31.159,36694,53928,UDP,72
2025-09-28 15:40:32.823,192.168.31.159,121.229.94.224,1541,8080,TCP,207
2025-09-28 15:40:32.836,192.168.31.159,108.181.4.223,53928,36694,UDP,74
2025-09-28 15:40:32.836,121.229.94.224,192.168.31.159,8080,1541,TCP,134
2025-09-28 15:40:32.877,192.168.31.159,121.229.94.224,1541,8080,TCP,54
2025-09-28 15:40:32.914,192.168.31.159,119.147.19.76,11065,8080,TCP,461
2025-09-28 15:40:32.963,192.168.31.159,58.217.179.240,9583,443,TCP,55
2025-09-28 15:40:32.970,58.217.179.240,192.168.31.159,443,9583,TCP,66
2025-09-28 15:40:32.981,119.147.19.76,192.168.31.159,8080,11065,TCP,147
2025-09-28 15:40:33.022,192.168.31.159,119.147.19.76,11065,8080,TCP,54
2025-09-28 15:40:57.081,192.168.31.159,122.248.50.162,8096,7826,TCP,55
2025-09-28 15:40:57.088,122.248.50.162,192.168.31.159,7826,8096,TCP,66
2025-09-28 15:40:57.162,192.168.31.159,223.5.5.5,59943,53,DNS,106
2025-09-28 15:40:57.168,223.5.5.5,192.168.31.159,53,59943,DNS,411
2025-09-28 15:40:57.169,192.168.31.159,47.102.197.10,11510,443,TCP,66
