指标,数值
总数据包,421
总字节数,116229
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,328
UDP,64
DNS,27
Unknown,2

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-10-08 23:08:49.498,152.69.180.226,192.168.31.159,38964,52885,UDP,70
2025-10-08 23:08:49.563,46.232.56.131,192.168.31.159,443,4822,TCP,60
2025-10-08 23:08:49.630,192.168.31.159,167.234.208.240,52865,37031,UDP,67
2025-10-08 23:08:49.852,192.168.31.159,167.234.208.240,52865,37031,UDP,67
2025-10-08 23:08:49.853,192.168.31.159,167.234.208.240,52865,37031,UDP,67
2025-10-08 23:08:50.004,167.234.208.240,192.168.31.159,37031,52865,UDP,73
2025-10-08 23:08:50.111,192.168.31.159,49.67.72.251,8937,443,TCP,55
2025-10-08 23:08:50.120,49.67.72.251,192.168.31.159,443,8937,TCP,66
2025-10-08 23:08:50.148,46.232.56.131,192.168.31.159,443,4822,TCP,1490
2025-10-08 23:08:50.149,46.232.56.131,192.168.31.159,443,4822,TCP,1490
2025-10-08 23:08:50.149,46.232.56.131,192.168.31.159,443,4822,TCP,1490
2025-10-08 23:08:50.149,46.232.56.131,192.168.31.159,443,4822,TCP,718
2025-10-08 23:08:50.149,192.168.31.159,46.232.56.131,4822,443,TCP,54
2025-10-08 23:08:50.149,192.168.31.159,46.232.56.131,4822,443,TCP,134
2025-10-08 23:08:50.150,192.168.31.159,46.232.56.131,4822,443,TCP,1262
2025-10-08 23:08:50.150,192.168.31.159,46.232.56.131,4822,443,TCP,97
2025-10-08 23:08:50.214,46.232.56.131,192.168.31.159,443,4822,TCP,60
2025-10-08 23:08:50.214,46.232.56.131,192.168.31.159,443,4822,TCP,60
2025-10-08 23:08:50.228,46.232.56.131,192.168.31.159,443,4822,TCP,1262
2025-10-08 23:08:50.228,46.232.56.131,192.168.31.159,443,4822,TCP,1490
2025-10-08 23:08:50.229,46.232.56.131,192.168.31.159,443,4822,TCP,1012
2025-10-08 23:08:50.230,46.232.56.131,192.168.31.159,443,4822,TCP,784
2025-10-08 23:08:50.230,192.168.31.159,46.232.56.131,4822,443,TCP,54
2025-10-08 23:08:50.231,192.168.31.159,46.232.56.131,4822,443,TCP,1490
2025-10-08 23:08:50.231,192.168.31.159,46.232.56.131,4822,443,TCP,1360
2025-10-08 23:08:50.232,192.168.31.159,158.179.18.251,52878,37646,UDP,67
2025-10-08 23:08:50.243,192.168.31.159,193.123.250.219,52884,38966,UDP,67
2025-10-08 23:08:50.264,192.168.31.159,193.123.76.84,52882,37995,UDP,67
2025-10-08 23:08:50.288,192.168.31.159,192.18.133.190,52866,36843,UDP,67
2025-10-08 23:08:50.342,192.168.31.159,23.49.5.206,8781,443,TCP,55
2025-10-08 23:08:50.430,192.168.31.159,46.232.56.131,4822,443,TCP,1490
